"","Parameter","Specie","Treatment","Time","Value"
"181","TMD","Epinard","Labour","T2",142.66166386782
"182","GDs","Epinard","Labour","T2",400
"183","SGC","Epinard","Labour","T2",0.9
"184","LDC","Epinard","Labour","T2",5000
"185","erSem","Epinard","Labour","T3",0.12752
"186","dSem","Epinard","Labour","T3",1
"187","maxSem","Epinard","Labour","T3",1
"188","ageAdv","Epinard","Labour","T3",0
"189","distAdv","Epinard","Labour","T3",0
"190","erAdv","Epinard","Labour","T3",0
"191","dAdv","Epinard","Labour","T3",0
"192","maxAdv","Epinard","Labour","T3",0
"193","dmin","Epinard","Labour","T3",0.298496884
"194","dmax","Epinard","Labour","T3",0.62181642
"195","EL","Epinard","Labour","T3",39.2
"196","TrT","Epinard","Labour","T3",1
"197","Trint","Epinard","Labour","T3",0.03
"198","PDT","Epinard","Labour","T3",6.015
"199","IPD","Epinard","Labour","T3",4.9773058241092
"200","pdmax","Epinard","Labour","T3",0.8
"201","pdmin","Epinard","Labour","T3",0
"202","RDM","Epinard","Labour","T3",0.0739
"203","CVDD","Epinard","Labour","T3",0.15
"204","TMD","Epinard","Labour","T3",220.360650165912
"205","GDs","Epinard","Labour","T3",400
"206","SGC","Epinard","Labour","T3",0.9
"207","LDC","Epinard","Labour","T3",5000
"208","erSem","Epinard","Paille","T1",0.12752
"209","dSem","Epinard","Paille","T1",1
"210","maxSem","Epinard","Paille","T1",1
"211","ageAdv","Epinard","Paille","T1",0
"212","distAdv","Epinard","Paille","T1",0
"213","erAdv","Epinard","Paille","T1",0
"214","dAdv","Epinard","Paille","T1",0
"215","maxAdv","Epinard","Paille","T1",0
"216","dmin","Epinard","Paille","T1",0.32406406
"217","dmax","Epinard","Paille","T1",0.525120608
"218","EL","Epinard","Paille","T1",39.2
"219","TrT","Epinard","Paille","T1",1
"220","Trint","Epinard","Paille","T1",0.03
"221","PDT","Epinard","Paille","T1",6.015
"222","IPD","Epinard","Paille","T1",3.26104851803988
"223","pdmax","Epinard","Paille","T1",0.8
"224","pdmin","Epinard","Paille","T1",0
"225","RDM","Epinard","Paille","T1",0.0739
"226","CVDD","Epinard","Paille","T1",0.15
"227","TMD","Epinard","Paille","T1",6.09017333956774
"228","GDs","Epinard","Paille","T1",400
"229","SGC","Epinard","Paille","T1",0.9
"230","LDC","Epinard","Paille","T1",5000
"231","erSem","Epinard","Paille","T2",0.12752
"232","dSem","Epinard","Paille","T2",1
"233","maxSem","Epinard","Paille","T2",1
"234","ageAdv","Epinard","Paille","T2",0
"235","distAdv","Epinard","Paille","T2",0
"236","erAdv","Epinard","Paille","T2",0
"237","dAdv","Epinard","Paille","T2",0
"238","maxAdv","Epinard","Paille","T2",0
"239","dmin","Epinard","Paille","T2",0.20760985
"240","dmax","Epinard","Paille","T2",0.54355882
"241","EL","Epinard","Paille","T2",39.2
"242","TrT","Epinard","Paille","T2",1
"243","Trint","Epinard","Paille","T2",0.03
"244","PDT","Epinard","Paille","T2",6.015
"245","IPD","Epinard","Paille","T2",6.27087323661647
"246","pdmax","Epinard","Paille","T2",0.8
"247","pdmin","Epinard","Paille","T2",0
"248","RDM","Epinard","Paille","T2",0.0739
"249","CVDD","Epinard","Paille","T2",0.15
"250","TMD","Epinard","Paille","T2",118.163715094905
"251","GDs","Epinard","Paille","T2",400
"252","SGC","Epinard","Paille","T2",0.9
"253","LDC","Epinard","Paille","T2",5000
"254","erSem","Epinard","Paille","T3",0.12752
"255","dSem","Epinard","Paille","T3",1
"256","maxSem","Epinard","Paille","T3",1
"257","ageAdv","Epinard","Paille","T3",0
"258","distAdv","Epinard","Paille","T3",0
"259","erAdv","Epinard","Paille","T3",0
"260","dAdv","Epinard","Paille","T3",0
"261","maxAdv","Epinard","Paille","T3",0
"262","dmin","Epinard","Paille","T3",0.28403744
"263","dmax","Epinard","Paille","T3",0.57288297
"264","EL","Epinard","Paille","T3",39.2
"265","TrT","Epinard","Paille","T3",1
"266","Trint","Epinard","Paille","T3",0.03
"267","PDT","Epinard","Paille","T3",6.015
"268","IPD","Epinard","Paille","T3",4.70760898501161
"269","pdmax","Epinard","Paille","T3",0.8
"270","pdmin","Epinard","Paille","T3",0
"271","RDM","Epinard","Paille","T3",0.0739
"272","CVDD","Epinard","Paille","T3",0.15
"273","TMD","Epinard","Paille","T3",216.302266881396
"274","GDs","Epinard","Paille","T3",400
"275","SGC","Epinard","Paille","T3",0.9
"276","LDC","Epinard","Paille","T3",5000
