"","Parameter","Specie","Treatment","Plante","Time","Value"
"183","SGC","Epinard","Bache",8,"T2",0.9
"184","LDC","Epinard","Bache",8,"T2",5000
"185","erSem","Epinard","Bache",9,"T2",0.12752
"186","dSem","Epinard","Bache",9,"T2",1
"187","maxSem","Epinard","Bache",9,"T2",1
"188","ageAdv","Epinard","Bache",9,"T2",0
"189","distAdv","Epinard","Bache",9,"T2",0
"190","erAdv","Epinard","Bache",9,"T2",0
"191","dAdv","Epinard","Bache",9,"T2",0
"192","maxAdv","Epinard","Bache",9,"T2",0
"193","dmin","Epinard","Bache",9,"T2",0.16930526
"194","dmax","Epinard","Bache",9,"T2",0.39687503
"195","EL","Epinard","Bache",9,"T2",19.6
"196","TrT","Epinard","Bache",9,"T2",1
"197","Trint","Epinard","Bache",9,"T2",0.03
"198","PDT","Epinard","Bache",9,"T2",6.015
"199","IPD","Epinard","Bache",9,"T2",5.94986804214077
"200","pdmax","Epinard","Bache",9,"T2",0.8
"201","pdmin","Epinard","Bache",9,"T2",0
"202","RDM","Epinard","Bache",9,"T2",0.151
"203","CVDD","Epinard","Bache",9,"T2",0.15
"204","TMD","Epinard","Bache",9,"T2",115.130605862097
"205","GDs","Epinard","Bache",9,"T2",400
"206","SGC","Epinard","Bache",9,"T2",0.9
"207","LDC","Epinard","Bache",9,"T2",5000
"208","erSem","Epinard","Bache",10,"T2",0.12752
"209","dSem","Epinard","Bache",10,"T2",1
"210","maxSem","Epinard","Bache",10,"T2",1
"211","ageAdv","Epinard","Bache",10,"T2",0
"212","distAdv","Epinard","Bache",10,"T2",0
"213","erAdv","Epinard","Bache",10,"T2",0
"214","dAdv","Epinard","Bache",10,"T2",0
"215","maxAdv","Epinard","Bache",10,"T2",0
"216","dmin","Epinard","Bache",10,"T2",0.182267849
"217","dmax","Epinard","Bache",10,"T2",0.638062828
"218","EL","Epinard","Bache",10,"T2",19.6
"219","TrT","Epinard","Bache",10,"T2",1
"220","Trint","Epinard","Bache",10,"T2",0.03
"221","PDT","Epinard","Bache",10,"T2",6.015
"222","IPD","Epinard","Bache",10,"T2",11.582142475139
"223","pdmax","Epinard","Bache",10,"T2",0.8
"224","pdmin","Epinard","Bache",10,"T2",0
"225","RDM","Epinard","Bache",10,"T2",0.151
"226","CVDD","Epinard","Bache",10,"T2",0.15
"227","TMD","Epinard","Bache",10,"T2",36.2293987370297
"228","GDs","Epinard","Bache",10,"T2",400
"229","SGC","Epinard","Bache",10,"T2",0.9
"230","LDC","Epinard","Bache",10,"T2",5000
"231","erSem","Epinard","Bache",11,"T3",0.12752
"232","dSem","Epinard","Bache",11,"T3",1
"233","maxSem","Epinard","Bache",11,"T3",1
"234","ageAdv","Epinard","Bache",11,"T3",0
"235","distAdv","Epinard","Bache",11,"T3",0
"236","erAdv","Epinard","Bache",11,"T3",0
"237","dAdv","Epinard","Bache",11,"T3",0
"238","maxAdv","Epinard","Bache",11,"T3",0
"239","dmin","Epinard","Bache",11,"T3",0.338619686
"240","dmax","Epinard","Bache",11,"T3",0.65844283
"241","EL","Epinard","Bache",11,"T3",19.6
"242","TrT","Epinard","Bache",11,"T3",1
"243","Trint","Epinard","Bache",11,"T3",0.03
"244","PDT","Epinard","Bache",11,"T3",6.015
"245","IPD","Epinard","Bache",11,"T3",4.20339932621184
"246","pdmax","Epinard","Bache",11,"T3",0.8
"247","pdmin","Epinard","Bache",11,"T3",0
"248","RDM","Epinard","Bache",11,"T3",0.151
"249","CVDD","Epinard","Bache",11,"T3",0.15
"250","TMD","Epinard","Bache",11,"T3",383.890608882828
"251","GDs","Epinard","Bache",11,"T3",400
"252","SGC","Epinard","Bache",11,"T3",0.9
"253","LDC","Epinard","Bache",11,"T3",5000
"254","erSem","Epinard","Bache",12,"T3",0.12752
"255","dSem","Epinard","Bache",12,"T3",1
"256","maxSem","Epinard","Bache",12,"T3",1
"257","ageAdv","Epinard","Bache",12,"T3",0
"258","distAdv","Epinard","Bache",12,"T3",0
"259","erAdv","Epinard","Bache",12,"T3",0
"260","dAdv","Epinard","Bache",12,"T3",0
"261","maxAdv","Epinard","Bache",12,"T3",0
"262","dmin","Epinard","Bache",12,"T3",0.31566674
"263","dmax","Epinard","Bache",12,"T3",0.570433188
"264","EL","Epinard","Bache",12,"T3",19.6
"265","TrT","Epinard","Bache",12,"T3",1
"266","Trint","Epinard","Bache",12,"T3",0.03
"267","PDT","Epinard","Bache",12,"T3",6.015
"268","IPD","Epinard","Bache",12,"T3",9.05948082462806
"269","pdmax","Epinard","Bache",12,"T3",0.8
"270","pdmin","Epinard","Bache",12,"T3",0
"271","RDM","Epinard","Bache",12,"T3",0.151
"272","CVDD","Epinard","Bache",12,"T3",0.15
"273","TMD","Epinard","Bache",12,"T3",606.976539661775
"274","GDs","Epinard","Bache",12,"T3",400
"275","SGC","Epinard","Bache",12,"T3",0.9
"276","LDC","Epinard","Bache",12,"T3",5000
"277","erSem","Epinard","Bache",13,"T3",0.12752
"278","dSem","Epinard","Bache",13,"T3",1
"279","maxSem","Epinard","Bache",13,"T3",1
"280","ageAdv","Epinard","Bache",13,"T3",0
"281","distAdv","Epinard","Bache",13,"T3",0
"282","erAdv","Epinard","Bache",13,"T3",0
"283","dAdv","Epinard","Bache",13,"T3",0
"284","maxAdv","Epinard","Bache",13,"T3",0
"285","dmin","Epinard","Bache",13,"T3",0.296333015
"286","dmax","Epinard","Bache",13,"T3",0.51845014
"287","EL","Epinard","Bache",13,"T3",19.6
"288","TrT","Epinard","Bache",13,"T3",1
"289","Trint","Epinard","Bache",13,"T3",0.03
"290","PDT","Epinard","Bache",13,"T3",6.015
"291","IPD","Epinard","Bache",13,"T3",8.27972391492438
"292","pdmax","Epinard","Bache",13,"T3",0.8
"293","pdmin","Epinard","Bache",13,"T3",0
"294","RDM","Epinard","Bache",13,"T3",0.151
"295","CVDD","Epinard","Bache",13,"T3",0.15
"296","TMD","Epinard","Bache",13,"T3",237.552946723458
"297","GDs","Epinard","Bache",13,"T3",400
"298","SGC","Epinard","Bache",13,"T3",0.9
"299","LDC","Epinard","Bache",13,"T3",5000
"300","erSem","Epinard","Bache",14,"T3",0.12752
"301","dSem","Epinard","Bache",14,"T3",1
"302","maxSem","Epinard","Bache",14,"T3",1
"303","ageAdv","Epinard","Bache",14,"T3",0
"304","distAdv","Epinard","Bache",14,"T3",0
"305","erAdv","Epinard","Bache",14,"T3",0
"306","dAdv","Epinard","Bache",14,"T3",0
"307","maxAdv","Epinard","Bache",14,"T3",0
"308","dmin","Epinard","Bache",14,"T3",0.330863678
"309","dmax","Epinard","Bache",14,"T3",0.71308328
"310","EL","Epinard","Bache",14,"T3",19.6
"311","TrT","Epinard","Bache",14,"T3",1
"312","Trint","Epinard","Bache",14,"T3",0.03
"313","PDT","Epinard","Bache",14,"T3",6.015
"314","IPD","Epinard","Bache",14,"T3",3.03992873505355
"315","pdmax","Epinard","Bache",14,"T3",0.8
"316","pdmin","Epinard","Bache",14,"T3",0
"317","RDM","Epinard","Bache",14,"T3",0.151
"318","CVDD","Epinard","Bache",14,"T3",0.15
"319","TMD","Epinard","Bache",14,"T3",199.04644391765
"320","GDs","Epinard","Bache",14,"T3",400
"321","SGC","Epinard","Bache",14,"T3",0.9
"322","LDC","Epinard","Bache",14,"T3",5000
"323","erSem","Epinard","Bache",15,"T3",0.12752
"324","dSem","Epinard","Bache",15,"T3",1
"325","maxSem","Epinard","Bache",15,"T3",1
"326","ageAdv","Epinard","Bache",15,"T3",0
"327","distAdv","Epinard","Bache",15,"T3",0
"328","erAdv","Epinard","Bache",15,"T3",0
"329","dAdv","Epinard","Bache",15,"T3",0
"330","maxAdv","Epinard","Bache",15,"T3",0
"331","dmin","Epinard","Bache",15,"T3",0.278049262
"332","dmax","Epinard","Bache",15,"T3",0.72576694
"333","EL","Epinard","Bache",15,"T3",19.6
"334","TrT","Epinard","Bache",15,"T3",1
"335","Trint","Epinard","Bache",15,"T3",0.03
"336","PDT","Epinard","Bache",15,"T3",6.015
"337","IPD","Epinard","Bache",15,"T3",5.83342773631309
"338","pdmax","Epinard","Bache",15,"T3",0.8
"339","pdmin","Epinard","Bache",15,"T3",0
"340","RDM","Epinard","Bache",15,"T3",0.151
"341","CVDD","Epinard","Bache",15,"T3",0.15
"342","TMD","Epinard","Bache",15,"T3",226.020450173339
"343","GDs","Epinard","Bache",15,"T3",400
"344","SGC","Epinard","Bache",15,"T3",0.9
"345","LDC","Epinard","Bache",15,"T3",5000
"346","erSem","Epinard","Feuilles",1,"T1",0.12752
"347","dSem","Epinard","Feuilles",1,"T1",1
"348","maxSem","Epinard","Feuilles",1,"T1",1
"349","ageAdv","Epinard","Feuilles",1,"T1",0
"350","distAdv","Epinard","Feuilles",1,"T1",0
"351","erAdv","Epinard","Feuilles",1,"T1",0
"352","dAdv","Epinard","Feuilles",1,"T1",0
"353","maxAdv","Epinard","Feuilles",1,"T1",0
"354","dmin","Epinard","Feuilles",1,"T1",0.320885992
"355","dmax","Epinard","Feuilles",1,"T1",0.483090006
"356","EL","Epinard","Feuilles",1,"T1",19.6
"357","TrT","Epinard","Feuilles",1,"T1",1
"358","Trint","Epinard","Feuilles",1,"T1",0.03
"359","PDT","Epinard","Feuilles",1,"T1",6.015
"360","IPD","Epinard","Feuilles",1,"T1",4.68658438159092
"361","pdmax","Epinard","Feuilles",1,"T1",0.8
"362","pdmin","Epinard","Feuilles",1,"T1",0
"363","RDM","Epinard","Feuilles",1,"T1",0.151
"364","CVDD","Epinard","Feuilles",1,"T1",0.15
"365","TMD","Epinard","Feuilles",1,"T1",5.66635942882933
"366","GDs","Epinard","Feuilles",1,"T1",400
"367","SGC","Epinard","Feuilles",1,"T1",0.9
"368","LDC","Epinard","Feuilles",1,"T1",5000
"369","erSem","Epinard","Feuilles",2,"T1",0.12752
"370","dSem","Epinard","Feuilles",2,"T1",1
"371","maxSem","Epinard","Feuilles",2,"T1",1
"372","ageAdv","Epinard","Feuilles",2,"T1",0
"373","distAdv","Epinard","Feuilles",2,"T1",0
"374","erAdv","Epinard","Feuilles",2,"T1",0
"375","dAdv","Epinard","Feuilles",2,"T1",0
"376","maxAdv","Epinard","Feuilles",2,"T1",0
"377","dmin","Epinard","Feuilles",2,"T1",0.4256873
"378","dmax","Epinard","Feuilles",2,"T1",0.574635168
"379","EL","Epinard","Feuilles",2,"T1",19.6
"380","TrT","Epinard","Feuilles",2,"T1",1
"381","Trint","Epinard","Feuilles",2,"T1",0.03
"382","PDT","Epinard","Feuilles",2,"T1",6.015
"383","IPD","Epinard","Feuilles",2,"T1",5.76169436220319
"384","pdmax","Epinard","Feuilles",2,"T1",0.8
"385","pdmin","Epinard","Feuilles",2,"T1",0
"386","RDM","Epinard","Feuilles",2,"T1",0.151
"387","CVDD","Epinard","Feuilles",2,"T1",0.15
"388","TMD","Epinard","Feuilles",2,"T1",5.54680218723819
"389","GDs","Epinard","Feuilles",2,"T1",400
"390","SGC","Epinard","Feuilles",2,"T1",0.9
"391","LDC","Epinard","Feuilles",2,"T1",5000
"392","erSem","Epinard","Feuilles",3,"T1",0.12752
"393","dSem","Epinard","Feuilles",3,"T1",1
"394","maxSem","Epinard","Feuilles",3,"T1",1
"395","ageAdv","Epinard","Feuilles",3,"T1",0
"396","distAdv","Epinard","Feuilles",3,"T1",0
"397","erAdv","Epinard","Feuilles",3,"T1",0
"398","dAdv","Epinard","Feuilles",3,"T1",0
"399","maxAdv","Epinard","Feuilles",3,"T1",0
"400","dmin","Epinard","Feuilles",3,"T1",0.347714876
"401","dmax","Epinard","Feuilles",3,"T1",0.63803743
"402","EL","Epinard","Feuilles",3,"T1",19.6
"403","TrT","Epinard","Feuilles",3,"T1",1
"404","Trint","Epinard","Feuilles",3,"T1",0.03
"405","PDT","Epinard","Feuilles",3,"T1",6.015
"406","IPD","Epinard","Feuilles",3,"T1",4.82289723320417
"407","pdmax","Epinard","Feuilles",3,"T1",0.8
"408","pdmin","Epinard","Feuilles",3,"T1",0
"409","RDM","Epinard","Feuilles",3,"T1",0.151
"410","CVDD","Epinard","Feuilles",3,"T1",0.15
"411","TMD","Epinard","Feuilles",3,"T1",5.73531878648116
"412","GDs","Epinard","Feuilles",3,"T1",400
"413","SGC","Epinard","Feuilles",3,"T1",0.9
"414","LDC","Epinard","Feuilles",3,"T1",5000
"415","erSem","Epinard","Feuilles",4,"T1",0.12752
"416","dSem","Epinard","Feuilles",4,"T1",1
"417","maxSem","Epinard","Feuilles",4,"T1",1
"418","ageAdv","Epinard","Feuilles",4,"T1",0
"419","distAdv","Epinard","Feuilles",4,"T1",0
"420","erAdv","Epinard","Feuilles",4,"T1",0
"421","dAdv","Epinard","Feuilles",4,"T1",0
"422","maxAdv","Epinard","Feuilles",4,"T1",0
"423","dmin","Epinard","Feuilles",4,"T1",0.36121503
"424","dmax","Epinard","Feuilles",4,"T1",0.61116763
"425","EL","Epinard","Feuilles",4,"T1",19.6
"426","TrT","Epinard","Feuilles",4,"T1",1
"427","Trint","Epinard","Feuilles",4,"T1",0.03
"428","PDT","Epinard","Feuilles",4,"T1",6.015
"429","IPD","Epinard","Feuilles",4,"T1",6.92374336533157
"430","pdmax","Epinard","Feuilles",4,"T1",0.8
"431","pdmin","Epinard","Feuilles",4,"T1",0
"432","RDM","Epinard","Feuilles",4,"T1",0.151
"433","CVDD","Epinard","Feuilles",4,"T1",0.15
"434","TMD","Epinard","Feuilles",4,"T1",4.62111471187318
"435","GDs","Epinard","Feuilles",4,"T1",400
"436","SGC","Epinard","Feuilles",4,"T1",0.9
"437","LDC","Epinard","Feuilles",4,"T1",5000
"438","erSem","Epinard","Feuilles",5,"T1",0.12752
"439","dSem","Epinard","Feuilles",5,"T1",1
"440","maxSem","Epinard","Feuilles",5,"T1",1
